fiscal_quarter,quarter_end_date,iPhone,Mac,iPad,Wearables,Services,total_revenue_usd_m,source_filing
Q1 FY2021,2020-12-26,,,,,,,
Q2 FY2021,2021-03-27,,,,,,,
Q3 FY2021,2021-06-26,,,,,,,
Q4 FY2021,2021-09-25,,,,,,,
Q1 FY2022,2021-12-25,,,,,,,
Q2 FY2022,2022-03-26,,,,,,,
Q3 FY2022,2022-06-25,,,,,,,
Q4 FY2022,2022-09-24,,,,,,,
Q1 FY2023,2022-12-31,,,,,,,
Q2 FY2023,2023-04-01,,,,,,,
Q3 FY2023,2023-07-01,,,,,,,
Q4 FY2023,2023-09-30,,,,,,,
Q1 FY2024,2023-12-30,,,,,,,
Q2 FY2024,2024-03-30,,,,,,,
Q3 FY2024,2024-06-29,,,,,,,
Q4 FY2024,2024-09-28,,,,,,,
Q1 FY2025,2024-12-28,,,,,,,
Q2 FY2025,2025-03-29,,,,,,,
Q3 FY2025,2025-06-28,,,,,,,
Q4 FY2025,2025-09-27,,,,,,,
Q1 FY2026,2025-12-27,,,,,,,
Q2 FY2026,2026-03-28,,,,,,,
