ticker,fiscal_quarter,quarter_end_date,segment,revenue_usd_m,total_revenue_usd_m,source_filing
2330,Q1 FY2022,2022-03-31 00:00:00,Total,491075.873,491075.873,XQAPI financial-report Q
2330,Q2 FY2022,2022-06-30 00:00:00,Total,534140.808,534140.808,XQAPI financial-report Q
2330,Q3 FY2022,2022-09-30 00:00:00,Total,613142.743,613142.743,XQAPI financial-report Q
2330,Q4 FY2022,2022-12-31 00:00:00,Total,625531.868,625531.868,XQAPI financial-report Q
2330,Q1 FY2023,2023-03-31 00:00:00,Total,508632.973,508632.973,XQAPI financial-report Q
2330,Q2 FY2023,2023-06-30 00:00:00,Total,480841.254,480841.254,XQAPI financial-report Q
2330,Q3 FY2023,2023-09-30 00:00:00,Total,546732.758,546732.758,XQAPI financial-report Q
2330,Q4 FY2023,2023-12-31 00:00:00,Total,625528.856,625528.856,XQAPI financial-report Q
2330,Q1 FY2024,2024-03-31 00:00:00,Total,592644.201,592644.201,XQAPI financial-report Q
2330,Q2 FY2024,2024-06-30 00:00:00,Total,673510.177,673510.177,XQAPI financial-report Q
2330,Q3 FY2024,2024-09-30 00:00:00,Total,759692.143,759692.143,XQAPI financial-report Q
2330,Q4 FY2024,2024-12-31 00:00:00,Total,868461.178,868461.178,XQAPI financial-report Q
2330,Q1 FY2025,2025-03-31 00:00:00,Total,839253.664,839253.664,XQAPI financial-report Q
2330,Q2 FY2025,2025-06-30 00:00:00,Total,933791.869,933791.869,XQAPI financial-report Q
2330,Q3 FY2025,2025-09-30 00:00:00,Total,989918.318,989918.318,XQAPI financial-report Q
2330,Q4 FY2025,2025-12-31 00:00:00,Total,1046090.421,1046090.421,XQAPI financial-report Q
AAPL,Q3 FY2022/,2022/-09-30,Total,82.959,82.959,XQAPI financial-report Q
AAPL,Q4 FY2022/,2022/-12-31,Total,90.146,90.146,XQAPI financial-report Q
AAPL,Q1 FY2023/,2023/-03-31,Total,117.154,117.154,XQAPI financial-report Q
AAPL,Q2 FY2023/,2023/-06-30,Total,94.836,94.836,XQAPI financial-report Q
AAPL,Q3 FY2023/,2023/-09-30,Total,81.797,81.797,XQAPI financial-report Q
AAPL,Q4 FY2023/,2023/-12-31,Total,89.498,89.498,XQAPI financial-report Q
AAPL,Q1 FY2024/,2024/-03-31,Total,119.575,119.575,XQAPI financial-report Q
AAPL,Q2 FY2024/,2024/-06-30,Total,90.753,90.753,XQAPI financial-report Q
AAPL,Q3 FY2024/,2024/-09-30,Total,85.777,85.777,XQAPI financial-report Q
AAPL,Q4 FY2024/,2024/-12-31,Total,94.93,94.93,XQAPI financial-report Q
AAPL,Q1 FY2025/,2025/-03-31,Total,124.3,124.3,XQAPI financial-report Q
AAPL,Q2 FY2025/,2025/-06-30,Total,95.359,95.359,XQAPI financial-report Q
AAPL,Q3 FY2025/,2025/-09-30,Total,94.036,94.036,XQAPI financial-report Q
AAPL,Q4 FY2025/,2025/-12-31,Total,102.466,102.466,XQAPI financial-report Q
AAPL,Q1 FY2026/,2026/-03-31,Total,143.756,143.756,XQAPI financial-report Q
AAPL,Q2 FY2026/,2026/-06-30,Total,111.184,111.184,XQAPI financial-report Q
AAPL,Q2 FY2026,,Mac,8394.0,111184.0,10-Q FY26Q2
AAPL,Q2 FY2026,,Services,30976.0,111184.0,10-Q FY26Q2
AAPL,Q2 FY2026,,Wearables,7905.0,111184.0,10-Q FY26Q2
AAPL,Q2 FY2026,,iPad,6916.0,111184.0,10-Q FY26Q2
AAPL,Q2 FY2026,,iPhone,56993.0,111184.0,10-Q FY26Q2
